customer_id,first_name,last_name,email,city,state,signup_date,membership_type
1,Cassandra,Murray,cassandra.murray1@example.com,New Kelly,New York,2024-05-24,Rewards Gold
2,Jennifer,King,jennifer.king2@example.com,North Markport,California,2025-03-28,Rewards Gold
3,James,Scott,james.scott3@example.com,Seanchester,Pennsylvania,2025-10-29,None
4,Cynthia,Smith,cynthia.smith4@example.com,Lake Scott,New York,2024-02-13,None
5,Joseph,Ballard,joseph.ballard5@example.com,Williamsstad,New York,2022-12-09,None
6,Tracy,Santana,tracy.santana6@example.com,Hillton,California,2024-07-29,Rewards Member
7,Rebecca,Byrd,rebecca.byrd7@example.com,Lake Danastad,Illinois,2025-03-06,None
8,Meghan,Moore,meghan.moore8@example.com,North Douglas,Michigan,2025-11-26,Rewards Gold
9,Christopher,Alexander,christopher.alexander9@example.com,Johnsonland,Georgia,2024-01-10,Rewards Member
10,Rodney,Reed,rodney.reed10@example.com,Port Deanna,Michigan,2025-02-12,Rewards Member
11,Joshua,Matthews,joshua.matthews11@example.com,Patrickshire,North Carolina,2024-12-18,Rewards Gold
12,Adam,Fowler,adam.fowler12@example.com,New Ericmouth,Georgia,2023-09-22,Rewards Gold
13,Kellie,Coleman,kellie.coleman13@example.com,Nathanland,North Carolina,2022-12-17,None
14,Dana,Wright,dana.wright14@example.com,New Michael,Pennsylvania,2022-10-14,None
15,Jose,Bruce,jose.bruce15@example.com,Debrabury,Texas,2026-06-25,None
16,Joyce,Gonzalez,joyce.gonzalez16@example.com,North Jillfort,California,2025-02-02,Rewards Member
17,Andrea,Cruz,andrea.cruz17@example.com,Mcintyreville,Georgia,2025-12-22,Rewards Member
18,Ronald,Webb,ronald.webb18@example.com,Kimberlymouth,Georgia,2023-07-29,Rewards Gold
19,Alec,Young,alec.young19@example.com,New Justin,Pennsylvania,2025-05-16,None
20,Charles,Armstrong,charles.armstrong20@example.com,Gonzalezberg,Illinois,2026-02-05,None
21,Nicole,Andrews,nicole.andrews21@example.com,South Geraldmouth,New York,2023-09-22,None
22,Rebecca,Haney,rebecca.haney22@example.com,Port Evelynmouth,Pennsylvania,2023-02-17,Rewards Gold
23,Amy,Phillips,amy.phillips23@example.com,Jennaside,Ohio,2025-08-04,Rewards Member
24,Mary,Spence,mary.spence24@example.com,Patriciaburgh,New York,2026-02-16,None
25,Brandi,Barrett,brandi.barrett25@example.com,Port Michael,California,2025-10-01,Rewards Gold
26,Earl,Hill,earl.hill26@example.com,North Tracie,New York,2025-09-27,None
27,David,Knight,david.knight27@example.com,East Kristy,Illinois,2024-12-05,None
28,Kyle,Jennings,kyle.jennings28@example.com,West Angelastad,New York,2025-03-04,None
29,Rachel,Garner,rachel.garner29@example.com,Laraside,California,2025-04-02,Rewards Gold
30,Laura,Williams,laura.williams30@example.com,New Nicole,Illinois,2025-05-31,None
31,Michelle,Obrien,michelle.obrien31@example.com,West Raymondfort,Michigan,2025-02-24,None
